"","V1","V2","PercGTE","Pvalue","Pvalue_adj"
"1","allME.fitSHBMC","allME.fitDRA",0.198675496688742,2.24494774157465e-16,0
"2","allME.fitSHBMC","allME.fitDRBMC",0.119205298013245,3.00433754287345e-20,0
"3","allME.fitSHBMC","allME.fitDRM",0.158940397350993,4.41117586524592e-17,0
"4","allME.fitSHBMC","allME.fitUDRA",0.251655629139073,2.11437052060449e-12,0
"5","allME.fitSHBMC","allME.fitUDBMC",0.119205298013245,2.71120071598029e-21,0
"6","allME.fitSHBMC","allME.fitUDIBS",0.298013245033113,3.37754370868248e-09,0
"7","allME.fitSHBMC","allME.fitFNBMCHIP",0.427631578947368,0.027742894259107,0.6103
"8","allME.fitSHBMC","allME.fitHIPM",0.447368421052632,0.950864172119931,1
"9","allME.fitSHBMC","allME.fitHIPBR",0.710526315789474,7.8184574830473e-07,0
"10","allME.fitSHBMC","allME.fitHIPW",0.651315789473684,9.15798073357461e-08,0
"11","allME.fitSHBMC","allME.fitHIPED",0.671052631578947,4.02295474591114e-08,0
"12","allME.fitSHBMC","allME.fitHIPACT",0.388157894736842,0.000179646749868004,0.0056
"13","allME.fitSHBMC","allME.fitSBMC",0.559210526315789,0.61878612436422,1
"14","allME.fitDRA","allME.fitDRBMC",0.622516556291391,0.0443304098113087,0.8423
"15","allME.fitDRA","allME.fitDRM",0.56953642384106,0.167218997715799,1
"16","allME.fitDRA","allME.fitUDRA",0.615894039735099,0.000297051398970107,0.0089
"17","allME.fitDRA","allME.fitUDBMC",0.450331125827815,0.477352148028117,1
"18","allME.fitDRA","allME.fitUDIBS",0.52317880794702,0.487777231981976,1
"19","allME.fitDRA","allME.fitFNBMCHIP",0.741721854304636,4.40198859993336e-10,0
"20","allME.fitDRA","allME.fitHIPM",0.841059602649007,4.85017635738588e-17,0
"21","allME.fitDRA","allME.fitHIPBR",0.847682119205298,3.70491980142551e-18,0
"22","allME.fitDRA","allME.fitHIPW",0.947019867549669,1.4582510393711e-25,0
"23","allME.fitDRA","allME.fitHIPED",0.907284768211921,1.74010348028157e-24,0
"24","allME.fitDRA","allME.fitHIPACT",0.629139072847682,0.00809355338495356,0.2023
"25","allME.fitDRA","allME.fitSBMC",0.741721854304636,4.48983579796088e-12,0
"26","allME.fitDRBMC","allME.fitDRM",0.403973509933775,0.080932148247509,1
"27","allME.fitDRBMC","allME.fitUDRA",0.52317880794702,0.424940527086961,1
"28","allME.fitDRBMC","allME.fitUDBMC",0.47682119205298,0.121082687894445,1
"29","allME.fitDRBMC","allME.fitUDIBS",0.536423841059603,0.881124141013622,1
"30","allME.fitDRBMC","allME.fitFNBMCHIP",0.701986754966887,9.90817284012627e-10,0
"31","allME.fitDRBMC","allME.fitHIPM",0.76158940397351,1.43010163978394e-14,0
"32","allME.fitDRBMC","allME.fitHIPBR",0.788079470198676,4.03431131458649e-14,0
"33","allME.fitDRBMC","allME.fitHIPW",0.867549668874172,1.8176561030444e-19,0
"34","allME.fitDRBMC","allME.fitHIPED",0.80794701986755,5.66064308952716e-18,0
"35","allME.fitDRBMC","allME.fitHIPACT",0.615894039735099,0.0327268353611599,0.6873
"36","allME.fitDRBMC","allME.fitSBMC",0.788079470198676,8.58337795771763e-15,0
"37","allME.fitDRM","allME.fitUDRA",0.622516556291391,0.00184305060622432,0.0498
"38","allME.fitDRM","allME.fitUDBMC",0.410596026490066,0.117123016360177,1
"39","allME.fitDRM","allME.fitUDIBS",0.483443708609272,0.897270853447379,1
"40","allME.fitDRM","allME.fitFNBMCHIP",0.741721854304636,8.61424217676088e-10,0
"41","allME.fitDRM","allME.fitHIPM",0.794701986754967,8.38445818402581e-16,0
"42","allME.fitDRM","allME.fitHIPBR",0.827814569536424,1.47667729901011e-16,0
"43","allME.fitDRM","allME.fitHIPW",0.927152317880795,1.38249719710093e-24,0
"44","allME.fitDRM","allME.fitHIPED",0.874172185430464,6.22302620504202e-23,0
"45","allME.fitDRM","allME.fitHIPACT",0.602649006622517,0.0251266902935501,0.5779
"46","allME.fitDRM","allME.fitSBMC",0.721854304635762,4.60913131474425e-12,0
"47","allME.fitUDRA","allME.fitUDBMC",0.417218543046358,0.0572562889033765,0.9734
"48","allME.fitUDRA","allME.fitUDIBS",0.437086092715232,0.679359884552253,1
"49","allME.fitUDRA","allME.fitFNBMCHIP",0.701986754966887,3.71743584614778e-06,1e-04
"50","allME.fitUDRA","allME.fitHIPM",0.754966887417219,3.23129219035324e-12,0
"51","allME.fitUDRA","allME.fitHIPBR",0.814569536423841,1.95092300066087e-15,0
"52","allME.fitUDRA","allME.fitHIPW",0.927152317880795,7.04751639500771e-25,0
"53","allME.fitUDRA","allME.fitHIPED",0.927152317880795,2.74807971601457e-23,0
"54","allME.fitUDRA","allME.fitHIPACT",0.596026490066225,0.0589796035718298,0.9734
"55","allME.fitUDRA","allME.fitSBMC",0.728476821192053,2.09670301479426e-09,0
"56","allME.fitUDBMC","allME.fitUDIBS",0.543046357615894,0.0501200839446727,0.9022
"57","allME.fitUDBMC","allME.fitFNBMCHIP",0.708609271523179,3.27422147475842e-12,0
"58","allME.fitUDBMC","allME.fitHIPM",0.827814569536424,1.42213216072115e-17,0
"59","allME.fitUDBMC","allME.fitHIPBR",0.827814569536424,1.11533771025762e-16,0
"60","allME.fitUDBMC","allME.fitHIPW",0.887417218543046,3.31098482560062e-23,0
"61","allME.fitUDBMC","allME.fitHIPED",0.887417218543046,3.82106066704941e-22,0
"62","allME.fitUDBMC","allME.fitHIPACT",0.622516556291391,0.00147558763882409,0.0413
